,Title,Book Rating,imdbRating
402,About a Boy,7.88,7.1
403,Heidi,8.42,7.3
404,Atonement,7.94,7.8
405,A Midsummer Night's Dream,7.76,6.5
406,A Christmas Carol,7.22,6.8
407,The Rainmaker,8.04,7.1
408,Los Angeles Plays Itself,7.54,8.0
409,The Sun Also Rises,7.72,6.3
410,The Sun Also Rises,7.66,6.3
411,The Sun Also Rises,7.66,6.3
412,The Shipping News,7.66,6.8
413,Der kleine Prinz,8.56,7.9
414,The Little Prince,8.56,7.8
415,On the Road,8.56,6.1
416,National Theatre Live: The Curious Incident of the Dog in the Night-Time,7.72,8.2
417,National Theatre Live: The Curious Incident of the Dog in the Night-Time,7.7,8.2
418,The Good Earth,7.66,7.8
419,The Stand,7.94,7.2
420,Oedipus Rex,8.68,7.5
421,Oedipus the King,7.34,6.8
422,The Catcher in the Rye,8.08,2.1
423,The Art of War,7.58,5.7
424,The Grapes of Wrath,8.84,8.1
425,The Grapes of Wrath,7.86,8.1
426,The Grapes of Wrath,7.86,8.1
427,The Grapes of Wrath,7.86,8.1
428,The Grapes of Wrath,7.86,8.1
429,A Midsummer Night's Dream,7.86,6.5
430,The Adventures of Sherlock Holmes,7.88,8.7
431,A Midsummer Night's Dream,8.6,6.5
432,American Gods,7.88,8.1
433,Atonement,7.94,7.8
434,Atonement,7.76,7.8
435,Life of Pi,7.76,7.9
436,A Study in Scarlet,8.24,5.7
437,The Old Man and the Sea,8.16,7.0
438,The Canterbury Tales,7.78,6.5
439,Angels & Demons,8.0,6.7
440,Naked,7.94,7.9
441,Fear and Loathing in Las Vegas,8.16,7.7
442,Fear and Loathing in Las Vegas,8.16,7.7
